카다, 88, 159
파타, 51, 160
차사, 57, 171
마바, 69, 169
하하, 55, 177
나하, 83, 145
다파, 66, 151
마자, 67, 177
마카, 49, 142
가다, 89, 181
자자, 67, 181
카바, 80, 147
아하, 90, 140
다타, 72, 157
바아, 44, 179
가나, 80, 153
나하, 81, 192
자타, 46, 172
타사, 63, 168
바나, 73, 155
사아, 57, 194
바하, 82, 146
아하, 49, 175
나마, 46, 144
가바, 57, 166
하나, 45, 143
파바, 98, 162
타라, 89, 170
파가, 89, 182
라사, 41, 192
카바, 69, 152
라바, 76, 182
나사, 82, 197
차아, 47, 165
다라, 42, 144
하카, 67, 143
카나, 92, 190
파파, 88, 184
다카, 94, 187
아차, 93, 195
타다, 67, 168
아바, 92, 141
바사, 62, 178
바바, 64, 163
가아, 94, 197
하바, 86, 177
하아, 74, 181
차마, 71, 148
사사, 81, 143
아가, 43, 155
마라, 40, 165
하바, 88, 153
차나, 78, 198
마자, 55, 198
나하, 91, 152
다파, 60, 169
나마, 88, 177
차파, 71, 168
사사, 54, 145
라타, 90, 191
파카, 60, 175
아카, 50, 159
자아, 44, 172
파자, 73, 193
카사, 96, 152
마카, 96, 166
바라, 58, 170
라사, 94, 195
바가, 87, 154
나다, 47, 142
하마, 51, 183
카자, 42, 143
라가, 59, 167
가자, 46, 181
카마, 99, 178
다파, 48, 157
타나, 78, 161
차라, 47, 192
파사, 94, 141
하카, 53, 177
차하, 48, 189
카가, 52, 189
하바, 46, 196
다하, 63, 182
아사, 52, 162
차타, 75, 197
카타, 65, 180
카아, 95, 177
마가, 99, 194
하파, 60, 157
자가, 43, 176
카바, 55, 156
나바, 55, 183
파자, 44, 177
아하, 63, 166
다파, 54, 163
카나, 99, 150
바아, 59, 179
타카, 66, 184
차하, 99, 198
다타, 66, 199
차가, 93, 166
하자, 81, 197
가차, 59, 156
바하, 85, 161
아아, 48, 195
타사, 68, 142
타사, 83, 195
바카, 65, 165
가타, 58, 183
카나, 46, 166
나차, 88, 184
파나, 58, 163
자타, 66, 181
마다, 92, 148
타다, 93, 154
마카, 80, 199
가가, 49, 199
자카, 53, 163
나사, 41, 183
카가, 67, 190
차마, 96, 177
차라, 45, 184
아파, 67, 167
아라, 44, 150
하타, 93, 176
차차, 50, 193
가아, 59, 185
차바, 73, 184
카타, 61, 148
타차, 63, 199
차하, 88, 155
가카, 85, 175
파아, 93, 174
차자, 74, 156
다라, 65, 187
바차, 83, 199
파카, 91, 191
하차, 46, 171
다파, 40, 160
바라, 60, 171
다마, 42, 197
차카, 80, 197
다카, 49, 170
바다, 86, 146
가가, 99, 181
라자, 82, 167
파나, 75, 151
바나, 44, 177
라마, 63, 167
바파, 93, 174
카카, 60, 150
가자, 62, 178
파차, 83, 176
가마, 49, 173
마파, 75, 165
아카, 77, 187
가카, 58, 173
다사, 53, 156
차라, 94, 161
차바, 98, 199
카바, 75, 147
아나, 64, 143
타자, 61, 151
타라, 77, 197
카라, 74, 193
나사, 97, 174
자하, 95, 161
바다, 53, 195
카차, 63, 188
차타, 87, 172
라아, 78, 155
파자, 94, 186
나바, 58, 155
라라, 60, 144
가차, 82, 156
자마, 99, 146
차타, 44, 178
타하, 52, 171
카타, 51, 151
바하, 58, 184
바라, 74, 157
파가, 94, 197
가가, 41, 154
카하, 98, 145
아나, 96, 141
카차, 41, 154
카다, 64, 170
마자, 43, 171
하가, 51, 163
나타, 58, 140
라마, 80, 190
바바, 64, 191
파나, 46, 163
나마, 85, 142
하나, 43, 173
라자, 84, 195
아마, 63, 194
아하, 97, 193
나라, 51, 173
마아, 46, 174
